,buyer-count,player-count,accumulated-hours-played,player-frac-of-buyer,avg-hours-played
Defiance,218,93,1433.6,0.42660550458715596,15.41505376344086
Defiance Arktech Revolution,1,0,0.0,0.0,0.0
Defy Gravity,52,26,35.800000000000004,0.5,1.3769230769230771
Deja Vu MacVenture Series,2,0,0.0,0.0,0.0
Delta Force 2,1,1,3.3,1.0,3.3
Delta Force Black Hawk Down,2,1,0.6,0.5,0.6
Delta Force Black Hawk Down - Team Sabre,2,1,69.0,0.5,69.0
Delve Deeper,3,2,4.6000000000000005,0.6666666666666666,2.3000000000000003
Delver,4,3,2.5999999999999996,0.75,0.8666666666666666
Dementium II HD,3,3,3.8,1.0,1.2666666666666666
Demigod,15,11,144.0,0.7333333333333333,13.090909090909092
Demise of Nations Rome,3,1,1.5,0.3333333333333333,1.5
Democracy 2,5,3,78.60000000000001,0.6,26.200000000000003
Democracy 3,31,28,152.9,0.9032258064516129,5.460714285714286
Democracy 3 Clones and Drones,6,0,0.0,0.0,0.0
Democracy 3 Extremism,10,0,0.0,0.0,0.0
Democracy 3 Extremism Linux,10,0,0.0,0.0,0.0
Democracy 3 Extremism Mac,10,0,0.0,0.0,0.0
Democracy 3 Social Engineering,9,0,0.0,0.0,0.0
Democracy 3 Social Engineering Linux,9,0,0.0,0.0,0.0
Democracy 3 Social Engineering Mac,9,0,0.0,0.0,0.0
"Demolition, Inc.",5,1,2.5,0.2,2.5
Demon Hunter Chronicles from Beyond,1,1,3.7,1.0,3.7
Demonicon,5,2,3.5,0.4,1.75
Deponia,48,26,171.3,0.5416666666666666,6.588461538461539
Deponia The Complete Journey,8,6,122.4,0.75,20.400000000000002
Depression Quest,12,4,6.2,0.3333333333333333,1.55
Depth,32,27,248.5,0.84375,9.203703703703704
Depth - S.T.E.V.E. Pack,1,0,0.0,0.0,0.0
Depth DEV,1,0,0.0,0.0,0.0
Depth Hunter 2 Deep Dive,3,1,10.4,0.3333333333333333,10.4
Depth Hunter 2 Ocean Mysteries,1,0,0.0,0.0,0.0
Depths of Peril,1,1,0.2,1.0,0.2
Descent,3,3,20.4,1.0,6.8
Descent 2,2,2,0.30000000000000004,1.0,0.15000000000000002
Descent 3,1,0,0.0,0.0,0.0
Descent Underground,2,1,0.5,0.5,0.5
Desert Gunner,1,0,0.0,0.0,0.0
Desert Thunder,12,0,0.0,0.0,0.0
Desktop Dungeons,3,3,87.9,1.0,29.3
Desktop Dungeons Goatperson DLC,1,0,0.0,0.0,0.0
Desktop Dungeons Soundtrack,1,0,0.0,0.0,0.0
Despair,7,4,21.700000000000003,0.5714285714285714,5.425000000000001
Desperados - Wanted Dead or Alive,2,2,11.2,1.0,5.6
Destination Sol,16,4,9.0,0.25,2.25
Destiny Warriors,4,1,2.6,0.25,2.6
Detective Case and Clown Bot in Murder in the Hotel Lisbon,3,0,0.0,0.0,0.0
Detective Grimoire,2,1,1.8,0.5,1.8
Dethroned!,17,3,0.7,0.17647058823529413,0.2333333333333333
Deus Ex Game of the Year Edition,80,37,188.3,0.4625,5.08918918918919
Deus Ex Human Revolution,163,138,3587.4000000000005,0.8466257668711656,25.995652173913047
Deus Ex Human Revolution - Director's Cut,97,54,777.1000000000004,0.5567010309278351,14.390740740740748
Deus Ex Human Revolution - The Missing Link,55,22,195.50000000000003,0.4,8.886363636363638
Deus Ex Invisible War,63,10,18.5,0.15873015873015872,1.85
Deus Ex Revision,7,2,0.5,0.2857142857142857,0.25
Deus Ex The Fall,29,4,9.1,0.13793103448275862,2.275
Dev Guy,12,2,1.5,0.16666666666666666,0.75
Devil May Cry 3 Special Edition,11,8,29.7,0.7272727272727273,3.7125
Devil May Cry 4,26,18,114.7,0.6923076923076923,6.372222222222223
Devil May Cry 4 Special Edition,3,3,22.1,1.0,7.366666666666667
Devil's Bluff,1,0,0.0,0.0,0.0
Devil's Workshop pack,8,0,0.0,0.0,0.0
Devilian,16,12,93.80000000000001,0.75,7.816666666666667
Devils & Demons,1,0,0.0,0.0,0.0
Devils Share,3,1,0.7,0.3333333333333333,0.7
Dex,2,1,10.8,0.5,10.8
DiRT,7,2,8.0,0.2857142857142857,4.0
DiRT 2,33,25,268.9,0.7575757575757576,10.755999999999998
DiRT 3,69,49,691.9000000000002,0.7101449275362319,14.12040816326531
DiRT 3 Complete Edition,81,19,98.7,0.2345679012345679,5.1947368421052635
DiRT Rally,19,18,189.7,0.9473684210526315,10.538888888888888
DiRT Showdown,56,23,124.60000000000001,0.4107142857142857,5.417391304347826
Diamond Dan,1,1,0.1,1.0,0.1
Diaper Dash,1,1,0.3,1.0,0.3
Diehard Dungeon,1,0,0.0,0.0,0.0
Dig or Die,4,3,21.0,0.75,7.0
DiggerOnline,47,34,84.4,0.723404255319149,2.4823529411764707
Digital Combat Simulator A-10C Warthog,6,1,0.8,0.16666666666666666,0.8
Diner Dash Hometown Hero,1,1,5.1,1.0,5.1
DinerTown Tycoon,1,1,1.0,1.0,1.0
Dinner Date,2,0,0.0,0.0,0.0
Dino D-Day,108,64,164.0999999999999,0.5925925925925926,2.5640624999999986
Dinosaur Hunt Africa Contract,2,1,0.5,0.5,0.5
Dirty Bomb,323,195,1390.3000000000004,0.6037151702786377,7.129743589743592
Disciples II Gallean's Return,10,5,47.800000000000004,0.5,9.56
Disciples II Rise of the Elves,7,3,1.0,0.42857142857142855,0.3333333333333333
Disciples III Reincarnation,8,4,716.6,0.5,179.15
Disciples III Renaissance,13,6,554.1,0.46153846153846156,92.35000000000001
Disciples III Resurrection,9,2,10.4,0.2222222222222222,5.2
Disciples Sacred Lands Gold,1,1,6.7,1.0,6.7
Dishonored,173,145,2842.2,0.838150289017341,19.601379310344825
Dishonored (RU),21,18,321.2,0.8571428571428571,17.844444444444445
Dismal Swamp DLC,12,0,0.0,0.0,0.0
Disney Infinity 2.0,1,1,16.4,1.0,16.4
Disney Infinity 3.0 Play Without Limits,15,7,4.6,0.4666666666666667,0.6571428571428571
DisplayFusion,7,3,0.8,0.42857142857142855,0.26666666666666666
Distance,8,5,38.2,0.625,7.640000000000001
Distant Star Revenant Fleet,2,1,1.0,0.5,1.0
Distant Worlds Universe,1,1,132.0,1.0,132.0
District 187,19,3,19.099999999999998,0.15789473684210525,6.366666666666666
Dive to the Titanic,1,1,4.7,1.0,4.7
Divekick,7,6,35.6,0.8571428571428571,5.933333333333334
Divine Divinity,31,3,10.9,0.0967741935483871,3.6333333333333333
Divine Souls,37,13,29.9,0.35135135135135137,2.3
Divinity Dragon Commander,22,12,96.30000000000001,0.5454545454545454,8.025
Divinity Dragon Commander Beta,14,1,3.7,0.07142857142857142,3.7
Divinity II - Ego Draconis,2,2,29.9,1.0,14.95
Divinity II - The Dragon Knight Saga,5,2,41.1,0.4,20.55
Divinity II Developer's Cut,42,12,136.89999999999998,0.2857142857142857,11.408333333333331
Divinity Original Sin,71,67,2380.1,0.9436619718309859,35.52388059701492
Divinity Original Sin Enhanced Edition,72,14,124.0,0.19444444444444445,8.857142857142858
Dizzel,91,30,63.1,0.32967032967032966,2.1033333333333335
DmC Devil May Cry,57,43,513.2000000000002,0.7543859649122807,11.934883720930236
Doc Clock The Toasted Sandwich of Time,4,3,2.8000000000000003,0.75,0.9333333333333335
Doctor Who The Eternity Clock,2,2,5.6,1.0,2.8
Dodge,1,1,2.1,1.0,2.1
DogFighter,22,7,4.7,0.3181818181818182,0.6714285714285715
Dogfight 1942,8,3,5.6,0.375,1.8666666666666665
Dogfight 1942 Fire over Africa,7,0,0.0,0.0,0.0
Dogfight 1942 Russia under Siege,7,0,0.0,0.0,0.0
Dogs of War Online - Beta,10,2,4.0,0.2,2.0
Dollar Dash,2,1,1.0,0.5,1.0
Dollar Dash DLC1 More Ways to Win,2,0,0.0,0.0,0.0
Dollar Dash DLC2 Robbers Tool-Kit,2,0,0.0,0.0,0.0
Dominions 4,2,2,9.2,1.0,4.6
Dominique Pamplemousse,3,0,0.0,0.0,0.0
Don Bradman Cricket 14,1,1,89.0,1.0,89.0
Don't Starve,199,157,3581.9,0.7889447236180904,22.814649681528664
Don't Starve Reign of Giants,82,0,0.0,0.0,0.0
Don't Starve Shipwrecked,12,0,0.0,0.0,0.0
Don't Starve Together Beta,256,150,2031.9000000000005,0.5859375,13.546000000000003
Doodle God,1,1,6.4,1.0,6.4
Doom & Destiny,1,0,0.0,0.0,0.0
Door Kickers,17,13,63.400000000000006,0.7647058823529411,4.876923076923077
Door Kickers Soundtrack,7,0,0.0,0.0,0.0
Doorways Holy Mountains of Flesh,1,0,0.0,0.0,0.0
Doorways Prelude,4,3,8.3,0.75,2.766666666666667
Doorways The Underworld,4,3,11.0,0.75,3.6666666666666665
Dota 2,4841,4841,981684.5999999989,1.0,202.78549886387088
Dota 2 - Short Film Contest,1,0,0.0,0.0,0.0
Dota 2 - The International 2015 - Player Profiles,5,0,0.0,0.0,0.0
Double Action Boogaloo,98,45,217.29999999999995,0.45918367346938777,4.828888888888888
Double Dragon Neon,9,7,20.099999999999998,0.7777777777777778,2.871428571428571
Double Dragon Trilogy,1,0,0.0,0.0,0.0
Down To One,1,1,3.6,1.0,3.6
Downwell,4,2,3.5999999999999996,0.5,1.7999999999999998
"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald A Whirlwind Heist",12,5,1.5999999999999999,0.4166666666666667,0.31999999999999995
Dr.Green,1,0,0.0,0.0,0.0
Draconian Wars,1,1,1.9,1.0,1.9
Dracula 2 The Last Sanctuary,2,0,0.0,0.0,0.0
Dracula 3 The Path of the Dragon,1,0,0.0,0.0,0.0
Dracula 4 and  5 - Special Steam Edition,1,0,0.0,0.0,0.0
Dracula Love Kills,1,0,0.0,0.0,0.0
Dracula Origin,4,1,1.6,0.25,1.6
Dracula The Resurrection,1,0,0.0,0.0,0.0
Dracula's Legacy,5,3,8.7,0.6,2.9
Dragomon Hunter,13,11,17.400000000000002,0.8461538461538461,1.581818181818182
Dragomon Hunter - Welcome Gift,3,0,0.0,0.0,0.0
Dragon Age II,5,5,372.8,1.0,74.56
Dragon Age Origins,55,31,1886.8,0.5636363636363636,60.86451612903225
Dragon Age Origins - Awakening,6,0,0.0,0.0,0.0
Dragon Age Origins - Ultimate Edition,79,59,2552.500000000001,0.7468354430379747,43.262711864406796
Dragon Age Origins Character Creator,8,8,4.7,1.0,0.5875
Dragon Nest,34,13,413.50000000000006,0.38235294117647056,31.807692307692314
Dragon Nest Europe,46,20,1033.8,0.43478260869565216,51.69
Dragon Quest Heroes,3,2,13.899999999999999,0.6666666666666666,6.949999999999999
Dragon The Game,1,1,0.9,1.0,0.9
Dragon's Lair,5,4,2.0,0.8,0.5
Dragon's Lair 2 Time Warp,1,1,1.3,1.0,1.3
Dragon's Prophet,13,6,54.4,0.46153846153846156,9.066666666666666
Dragon's Prophet (EU),20,4,119.89999999999999,0.2,29.974999999999998
Dragon's Prophet Free Starter Pack,1,0,0.0,0.0,0.0
Dragons and Titans,59,24,73.10000000000001,0.4067796610169492,3.045833333333334
Drakensang,4,2,138.9,0.5,69.45
Drakensang The River of Time,3,1,1.8,0.3333333333333333,1.8
Draw a Stickman EPIC,11,6,5.2,0.5454545454545454,0.8666666666666667
Drawn The Painted Tower,1,1,3.9,1.0,3.9
Dream,4,2,3.1,0.5,1.55
Dream Chronicles The Chosen Child,1,0,0.0,0.0,0.0
Dream Of Mirror Online,14,3,3.6,0.21428571428571427,1.2
Dream Pinball 3D,5,1,0.4,0.2,0.4
Dream Tale,1,0,0.0,0.0,0.0
Dreamfall Chapters,7,5,23.900000000000002,0.7142857142857143,4.78
Dreamfall The Longest Journey,8,2,10.899999999999999,0.25,5.449999999999999
Dreaming Sarah,2,1,0.6,0.5,0.6
Dreaming Sarah OST,2,0,0.0,0.0,0.0
Driftmoon,4,1,0.3,0.25,0.3
Drive Any Track,1,0,0.0,0.0,0.0
Drive to Hell,1,0,0.0,0.0,0.0
Driver Booster 3 for STEAM,1,0,0.0,0.0,0.0
Driver San Francisco,21,18,105.3,0.8571428571428571,5.85
Driving School Simulator,1,0,0.0,0.0,0.0
Droid Assault,4,2,1.7,0.5,0.85
Droplitz,8,8,4.8,1.0,0.6
Drunken Robot Pornography,3,1,1.6,0.3333333333333333,1.6
Ducati World Championship,1,0,0.0,0.0,0.0
Duck Dynasty,1,1,2.4,1.0,2.4
Duck Game,7,7,125.39999999999999,1.0,17.914285714285715
DuckTales Remastered,6,5,22.000000000000004,0.8333333333333334,4.4
Duke Nukem,4,0,0.0,0.0,0.0
Duke Nukem 2,3,0,0.0,0.0,0.0
Duke Nukem 3D,3,0,0.0,0.0,0.0
Duke Nukem 3D Megaton Edition,33,16,67.19999999999999,0.48484848484848486,4.199999999999999
Duke Nukem Forever,47,40,414.6,0.851063829787234,10.365
Duke Nukem Forever ,5,4,17.6,0.8,4.4
Duke Nukem Manhattan Project,4,0,0.0,0.0,0.0
Dungeon Crawlers HD,1,0,0.0,0.0,0.0
Dungeon Defenders,136,111,3816.2000000000007,0.8161764705882353,34.38018018018019
Dungeon Defenders Eternity,11,9,95.7,0.8181818181818182,10.633333333333333
Dungeon Defenders II,114,85,937.0000000000001,0.7456140350877193,11.023529411764708
Dungeon Fighter Online,15,0,0.0,0.0,0.0
Dungeon Hearts,5,3,4.2,0.6,1.4000000000000001
Dungeon Nightmares II  The Memory,1,0,0.0,0.0,0.0
Dungeon Party,21,1,0.3,0.047619047619047616,0.3
Dungeon Siege,23,11,86.99999999999999,0.4782608695652174,7.909090909090907
Dungeon Siege 2,23,5,18.8,0.21739130434782608,3.7600000000000002
Dungeon Siege III,50,31,196.7,0.62,6.34516129032258
Dungeon Souls,2,2,92.4,1.0,46.2
Dungeon of Elements,1,0,0.0,0.0,0.0
Dungeon of the Endless,21,18,176.6,0.8571428571428571,9.81111111111111
Dungeonbowl Knockout Edition,3,1,0.2,0.3333333333333333,0.2
Dungeonland,74,27,47.2,0.36486486486486486,1.7481481481481482
Dungeonland - All access pass,28,0,0.0,0.0,0.0
Dungeons & Dragons Chronicles of Mystara,6,5,19.499999999999996,0.8333333333333334,3.8999999999999995
Dungeons & Dragons Daggerdale,6,6,19.700000000000003,1.0,3.2833333333333337
Dungeons & Dragons Online,46,17,441.99999999999994,0.3695652173913043,25.999999999999996
Dungeons 2,6,6,86.9,1.0,14.483333333333334
Dungeons The Eye of Draconus,2,1,0.9,0.5,0.9
Dungeons of Dredmor,38,26,739.7,0.6842105263157895,28.450000000000003
Duskers,1,0,0.0,0.0,0.0
Dust An Elysian Tail,76,46,335.6,0.6052631578947368,7.2956521739130435
Dustforce,34,15,72.10000000000001,0.4411764705882353,4.8066666666666675
Dustoff Heli Rescue,1,1,3.9,1.0,3.9
Dwarfs F2P,35,8,22.7,0.22857142857142856,2.8375
Dwarfs!?,17,5,7.1,0.29411764705882354,1.42
Dyad,1,0,0.0,0.0,0.0
Dying Light,85,80,2212.5999999999995,0.9411764705882353,27.65749999999999
Dynamite Jack,6,2,0.4,0.3333333333333333,0.2
Dynasty Warriors 8 - Empires,2,2,23.0,1.0,11.5
Dynomite! Deluxe,1,1,1.9,1.0,1.9
Dysan the Shapeshifter,1,1,1.4,1.0,1.4
Dysfunctional Systems Learning to Manage Chaos,5,2,5.199999999999999,0.4,2.5999999999999996
Dystopia,5,0,0.0,0.0,0.0
E.Y.E Divine Cybermancy,34,24,112.4,0.7058823529411765,4.683333333333334
EDGE,26,12,13.200000000000001,0.46153846153846156,1.1
ENKI,1,1,0.3,1.0,0.3
ENSLAVED Odyssey to the West Premium Edition,13,6,17.6,0.46153846153846156,2.9333333333333336
EVE Online,30,21,732.6,0.7,34.885714285714286
EVGA PrecisionX 16,38,10,166.1,0.2631578947368421,16.61
Eador. Masters of the Broken World,10,6,215.2,0.6,35.86666666666667
Earth 2140 HD,2,0,0.0,0.0,0.0
Earth 2150 Lost Souls,18,1,5.3,0.05555555555555555,5.3
Earth 2150 The Moon Project,26,1,8.4,0.038461538461538464,8.4
Earth 2150 Trilogy,11,2,3.9,0.18181818181818182,1.95
Earth 2160,14,10,58.39999999999999,0.7142857142857143,5.839999999999999
Earth Defense Force Insect Armageddon,5,3,95.9,0.6,31.96666666666667
East India Company,2,1,50.0,0.5,50.0
East India Company Gold,51,5,12.7,0.09803921568627451,2.54
East India Company Pirate Bay,1,1,5.8,1.0,5.8
East India Company Privateer,1,1,0.3,1.0,0.3
Eastside Hockey Manager,1,1,1295.0,1.0,1295.0
EasyAntiCheat eSports,13,8,70.5,0.6153846153846154,8.8125
Eaten Alive,1,1,3.6,1.0,3.6
Echelon,1,1,3.3,1.0,3.3
Echo of Soul,38,23,408.6,0.6052631578947368,17.76521739130435
Echo of the Wilds,1,1,0.2,1.0,0.2
Echoes+,17,8,6.6,0.47058823529411764,0.825
Eden Star  Destroy - Build - Protect,3,3,17.2,1.0,5.733333333333333
Edge of Space,10,6,15.4,0.6,2.566666666666667
Edna & Harvey Harvey's New Eyes,15,3,10.1,0.2,3.3666666666666667
Edna & Harvey The Breakout,8,4,10.1,0.5,2.525
Eets,22,5,13.2,0.22727272727272727,2.6399999999999997
Eets Munchies,37,10,23.799999999999994,0.2702702702702703,2.3799999999999994
Eidolon,4,1,0.2,0.25,0.2
Eldevin,27,14,325.2,0.5185185185185185,23.228571428571428
Eldritch,9,4,22.1,0.4444444444444444,5.525
Electric Highways,5,1,0.3,0.2,0.3
Electronic Super Joy,8,8,14.1,1.0,1.7625
Electronic Super Joy Bonus Content,4,0,0.0,0.0,0.0
Electronic Super Joy Groove City,4,1,0.1,0.25,0.1
Elegy For A Dead World,1,0,0.0,0.0,0.0
Element4l,6,3,13.3,0.5,4.433333333333334
Elemental Fallen Enchantress Map Pack,1,0,0.0,0.0,0.0
Elementary My Dear Majesty!,1,0,0.0,0.0,0.0
Elements Soul of Fire,1,0,0.0,0.0,0.0
Eleusis,1,1,0.7,1.0,0.7
Elite Dangerous,34,33,2455.7000000000003,0.9705882352941176,74.41515151515152
Elite Dangerous Horizons,2,1,3.2,0.5,3.2
Else Heart.Break(),1,1,2.4,1.0,2.4
Elsword,63,28,381.3,0.4444444444444444,13.617857142857144
Elven Legacy,4,3,25.8,0.75,8.6
Elven Legacy Magic,2,0,0.0,0.0,0.0
Elven Legacy Ranger,2,0,0.0,0.0,0.0
Elven Legacy Siege,2,0,0.0,0.0,0.0
Emergency 2012,1,1,46.0,1.0,46.0
Emergency 2013,2,2,20.7,1.0,10.35
Emergency 2014,3,2,7.5,0.6666666666666666,3.75
Emergency 5 - Deluxe Edition,1,1,25.0,1.0,25.0
Emet - Hunter (Medic Class),3,0,0.0,0.0,0.0
Emily is Away,55,48,35.50000000000001,0.8727272727272727,0.7395833333333335
Empire TV Tycoon,2,1,6.7,0.5,6.7
Empire Total War,263,214,21030.3,0.8136882129277566,98.27242990654206
Empires,5,5,780.5,1.0,156.1
Empires Dawn of the Modern World,1,0,0.0,0.0,0.0
Empyrion - Galactic Survival,7,7,127.29999999999998,1.0,18.185714285714283
Enclave,107,30,80.6,0.2803738317757009,2.6866666666666665
Endless Legend,41,38,1288.1000000000001,0.926829268292683,33.89736842105263
Endless Sky,21,13,19.6,0.6190476190476191,1.5076923076923079
Endless Sky - High DPI,1,0,0.0,0.0,0.0
Endless Space,61,51,1498.6,0.8360655737704918,29.384313725490195
Enemy Front,5,5,57.099999999999994,1.0,11.419999999999998
Enemy Mind,20,4,10.6,0.2,2.65
Enemy Territory Quake Wars,2,1,7.0,0.5,7.0
Enforcer Police Crime Action,3,3,20.700000000000003,1.0,6.900000000000001
English Country Tune,19,2,0.4,0.10526315789473684,0.2
Enigmatis 2 The Mists of Ravenwood,3,1,5.9,0.3333333333333333,5.9
Enigmatis The Ghosts of Maple Creek,2,2,10.1,1.0,5.05
Entropy,1,0,0.0,0.0,0.0
Environmental Station Alpha,1,1,28.0,1.0,28.0
Epic Arena,10,4,5.8,0.4,1.45
Epic Battle Fantasy 4,5,4,120.8,0.8,30.2
Epic Battle Fantasy 4 - Soundtrack,1,0,0.0,0.0,0.0
Epic Cards Battle(TCG),8,1,0.1,0.125,0.1
Epigenesis,13,5,8.0,0.38461538461538464,1.6
Eradicator,1,1,0.2,1.0,0.2
Eron,2,0,0.0,0.0,0.0
Eryi's Action,2,1,2.7,0.5,2.7
Escape,11,2,0.6,0.18181818181818182,0.3
Escape Dead Island,1,0,0.0,0.0,0.0
Escape Goat,3,3,31.7,1.0,10.566666666666666
Escape Goat 2,1,0,0.0,0.0,0.0
Escape Machines,5,1,2.7,0.2,2.7
Escape Rosecliff Island,6,2,6.2,0.3333333333333333,3.1
Eschalon Book 1,1,1,57.0,1.0,57.0
Eschalon Book 2,2,1,128.0,0.5,128.0
Esenthel Engine,11,2,0.4,0.18181818181818182,0.2
Estranged Act I,12,12,36.50000000000001,1.0,3.0416666666666674
Eternal Fate,10,4,7.3,0.4,1.825
Eternal Senia,22,7,11.600000000000001,0.3181818181818182,1.6571428571428573
Eternal Silence,10,10,8.3,1.0,0.8300000000000001
Ethan Meteor Hunter,8,2,0.4,0.25,0.2
Ethan Meteor Hunter Deluxe Content,1,0,0.0,0.0,0.0
Ether One,5,3,25.8,0.6,8.6
Ether One Deluxe Edition Upgrade,2,0,0.0,0.0,0.0
Ether One Redux,5,0,0.0,0.0,0.0
Ether Vapor Remaster,4,1,4.5,0.25,4.5
Etherium,4,1,0.3,0.25,0.3
Etherlords,3,0,0.0,0.0,0.0
Etherlords II,3,1,0.5,0.3333333333333333,0.5
Eufloria,19,12,295.0,0.631578947368421,24.583333333333332
Eufloria HD,20,2,19.0,0.1,9.5
Eufloria HD Original Soundtrack,19,0,0.0,0.0,0.0
Euro Fishing,3,2,1.3,0.6666666666666666,0.65
Euro Truck Simulator,31,8,11.5,0.25806451612903225,1.4375
Euro Truck Simulator 2,187,171,7226.899999999999,0.9144385026737968,42.2625730994152
Euro Truck Simulator 2 - Going East!,70,0,0.0,0.0,0.0
Euro Truck Simulator 2 - Ice Cold Paint Jobs Pack,33,0,0.0,0.0,0.0
Eurofighter Typhoon,10,1,0.3,0.1,0.3
Europa Universalis III,37,16,1082.9999999999995,0.43243243243243246,67.68749999999997
Europa Universalis III Divine Wind,9,0,0.0,0.0,0.0
Europa Universalis III Heir to the Throne,8,0,0.0,0.0,0.0
Europa Universalis IV,52,50,9759.0,0.9615384615384616,195.18
Europa Universalis IV American Dream DLC,11,0,0.0,0.0,0.0
Europa Universalis IV Conquest of Paradise,18,0,0.0,0.0,0.0
Europa Universalis IV Conquistadors Unit pack ,12,0,0.0,0.0,0.0
Europa Universalis IV National Monuments II,10,0,0.0,0.0,0.0
Europa Universalis IV Songs of the New World,8,0,0.0,0.0,0.0
Europa Universalis IVNative Americans Unit Pack,10,0,0.0,0.0,0.0
Europa Universalis Rome - Gold Edition,5,3,6.7,0.6,2.2333333333333334
Europa Universalis Rome - Vae Victis,5,0,0.0,0.0,0.0
European Ship Simulator,1,1,0.4,1.0,0.4
EverQuest Free-to-Play,24,4,4.1,0.16666666666666666,1.025
EverQuest II,31,8,96.8,0.25806451612903225,12.1
EverQuest II Rise of Kunark,1,0,0.0,0.0,0.0
EverQuest II The Shadow Odyssey,1,0,0.0,0.0,0.0
EverQuest Secrets of Faydwer,1,1,0.4,1.0,0.4
EverQuest Seeds of Destruction,1,1,0.3,1.0,0.3
Everlasting Summer,60,38,197.7,0.6333333333333333,5.2026315789473685
Everlasting Summer DLC One pioneer's story,1,0,0.0,0.0,0.0
Everyday Genius SquareLogic,1,1,12.2,1.0,12.2
Evil Genius,15,12,201.5,0.8,16.791666666666668
EvilQuest,1,0,0.0,0.0,0.0
Evochron Mercenary,5,5,16.5,1.0,3.3
Evoland,25,18,60.7,0.72,3.3722222222222222
Evolution RTS,10,3,1.3,0.3,0.43333333333333335
Evolve,34,34,786.4999999999999,1.0,23.132352941176467
Evolve - Behemoth,20,0,0.0,0.0,0.0
Evolve - Gorgon,5,0,0.0,0.0,0.0
Executive Assault,1,1,2.7,1.0,2.7
Expeditions Conquistador,7,4,183.5,0.5714285714285714,45.875
Explodemon,1,0,0.0,0.0,0.0
F.E.A.R.,76,24,140.59999999999997,0.3157894736842105,5.858333333333332
F.E.A.R. 2 Project Origin,114,38,394.7,0.3333333333333333,10.386842105263158
F.E.A.R. 3,116,53,410.4,0.45689655172413796,7.7433962264150935
F.E.A.R. Extraction Point,76,5,38.5,0.06578947368421052,7.7
F.E.A.R. Online,64,27,77.8,0.421875,2.8814814814814813
F.E.A.R. Perseus Mandate,76,7,35.39999999999999,0.09210526315789473,5.057142857142856
F1 2010,6,6,111.1,1.0,18.516666666666666
F1 2011,6,5,78.69999999999999,0.8333333333333334,15.739999999999998
F1 2012,20,19,1125.5,0.95,59.23684210526316
F1 2013,15,12,569.6,0.8,47.46666666666667
F1 2014,8,8,73.8,1.0,9.225
F1 2015,7,6,113.4,0.8571428571428571,18.900000000000002
F1 Race Stars,4,4,21.9,1.0,5.475
FATE,7,2,26.4,0.2857142857142857,13.2
FATE The Traitor Soul,1,0,0.0,0.0,0.0
FATE Undiscovered Realms,4,1,1.2,0.25,1.2
FEZ,87,52,238.80000000000004,0.5977011494252874,4.592307692307693
FIFA Manager 09,1,1,411.0,1.0,411.0
FIFA Manager 10,1,0,0.0,0.0,0.0
FIFA Manager 11,1,1,229.0,1.0,229.0
FINAL FANTASY III,10,6,98.1,0.6,16.349999999999998
FINAL FANTASY IV,4,1,0.6,0.25,0.6
FINAL FANTASY IV THE AFTER YEARS,1,0,0.0,0.0,0.0
FINAL FANTASY TYPE-0 HD,6,4,6.8,0.6666666666666666,1.7
FINAL FANTASY V,1,0,0.0,0.0,0.0
FINAL FANTASY VII,79,63,1511.9000000000003,0.7974683544303798,23.998412698412704
FINAL FANTASY VIII,40,29,746.7,0.725,25.74827586206897
FINAL FANTASY XI,6,2,50.3,0.3333333333333333,25.15
FINAL FANTASY XI Ultimate Collection - Abyssea Edition,3,0,0.0,0.0,0.0
FINAL FANTASY XIII,29,22,475.8,0.7586206896551724,21.62727272727273
FINAL FANTASY XIII-2,14,10,122.0,0.7142857142857143,12.2
FINAL FANTASY XIV A Realm Reborn,25,22,6618.5,0.88,300.84090909090907
FINAL FANTASY XIV A Realm Reborn (NA version),8,0,0.0,0.0,0.0
FINAL FANTASY XIV A Realm Reborn (PAL version),8,0,0.0,0.0,0.0
FINAL FANTASY XIV A Realm Reborn CE (NA version),5,0,0.0,0.0,0.0
FINAL FANTASY XIV Heavensward,6,0,0.0,0.0,0.0
FIREFIGHT RELOADED,1,0,0.0,0.0,0.0
FIST OF AWESOME,5,1,1.3,0.2,1.3
FLOCK!,1,1,0.1,1.0,0.1
FLY'N,6,2,1.1,0.3333333333333333,0.55
FLYING TIGERS SHADOWS OVER CHINA,1,0,0.0,0.0,0.0
FORCED,37,27,77.49999999999999,0.7297297297297297,2.87037037037037
FORCED Original Soundtrack,1,0,0.0,0.0,0.0
FOTONICA,3,2,5.6000000000000005,0.6666666666666666,2.8000000000000003
FRACT OSC,2,1,0.5,0.5,0.5
FRONTIERS,1,1,0.5,1.0,0.5
FTL Faster Than Light,157,126,2315.8000000000006,0.802547770700637,18.379365079365083
FUEL,9,5,15.600000000000001,0.5555555555555556,3.12
FX Football - The Manager for Every Football Fan,3,3,8.9,1.0,2.966666666666667
FX Football 3D Match,3,0,0.0,0.0,0.0
Fable - The Lost Chapters,53,36,395.70000000000005,0.6792452830188679,10.991666666666667
Fable Anniversary,24,17,161.70000000000002,0.7083333333333334,9.511764705882355
Fable III,23,17,570.6,0.7391304347826086,33.56470588235294
Fabula Mortis,1,0,0.0,0.0,0.0
Face It - A game to fight inner demons,1,0,0.0,0.0,0.0
Face Noir,4,1,3.1,0.25,3.1
Face of Mankind,35,7,6.9,0.2,0.9857142857142858
